verification_order,provisional_rank,lemma,cefr_hypothesis,aspect,aspect_partner,phase2_representation_fit,phase2_risk,phase2_verification_question,phase3_disposition,phase3_representation_fit,independent_slot_signal,verified_meaning_summary,supported_construction_summary,supported_constructions_structured,rejected_or_unverified_hypotheses,adjunct_boundary_summary,phase2_question_answer,primary_source_key,primary_source,primary_source_url,primary_source_locator,primary_source_accessed,primary_source_evidence_summary,secondary_source_key,secondary_source,secondary_source_url,secondary_source_locator,secondary_source_accessed,secondary_source_evidence_summary,evidence_strength,remaining_uncertainty,replacement_trigger,replacement_profile,research_notes
51,35,powiedzieć,A2,perfective,,probably compatible - verify,medium,"Which recipient, object, że-clause, and żeby-clause combinations are governed in distinct scoped meanings rather than collapsed polysemy?",KEEP VERIFIED,compatible,strong,"sense 1 spoken communication, with recipient and content realized through separate object, topic, clause, or direct-speech schemas","optional Dative or do + Genitive addressee with Accusative content; optional Dative or do + Genitive addressee with o + Locative topic; optional Dative or do + Genitive addressee with że-, żeby-, or interrogative-dependent clause; direct speech as its own schema","case:Dative(addressee,optional);preposition-case:do+Genitive(addressee,optional);case:Accusative(spoken content/object);preposition-case:o+Locative(topic);clause:że(content);clause:żeby(requested/intended event);clause:interrogative-dependent(content);clause:direct-speech",The listed alternatives are not one maximal KOMU + CO + o-topic + że + żeby template; direct speech is not assigned a recipient absent from its exact schema; JAK is directly listed but lies outside the locked four construction types; unrelated nonverbal meanings are excluded,"Voice, manner, channel, location, time, and communicative circumstances remain adjuncts unless they instantiate an exact listed position. Recipient and content credit comes only from the individual exact schemas.","Yes. One broad spoken-communication sense directly lists separate recipient-plus-object, recipient-plus-topic, recipient-plus-content-clause, and direct-speech schemas. Dative and do + Genitive are recipient alternatives; że, żeby, and interrogative-dependent clauses are content alternatives, never cumulative slots in a giant frame.",WSJP-POWIEDZ-01,"Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, powiedzieć sense 1 'o miłości'",https://wsjp.pl/haslo/podglad/8100/powiedziec/5157825/o-milosci,"sense 1; Definicja, Połączenia, Składnia",2026-08-21,"Składnia separately lists optional KOMU or do KOGO/CZEGO with CO, optional KOMU or do KOGO with o CZYM, optional recipient with że/żeby/interrogative-dependent content, and direct speech alone.",,,,,,,A,Later authoring must label the communicative relation and preserve the schema alternatives; directly listed JAK cannot be represented in the locked model.,none,,"Completeness adds o + Locative topic, interrogative-dependent content, direct speech, and do + Genitive addressee alternatives. No order 61+ candidate or reserve was researched."
52,38,gotować,A1,imperfective,,probably compatible - verify,medium,"Does contemporary evidence support Accusative food; Dative beneficiary only if supported as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?",KEEP VERIFIED,compatible,strong,"sense 3 preparing hot meals, distinct from food boiling/cooking and unrelated senses",optional Accusative prepared dish/meal and optional Dative beneficiary in one exact practical cooking schema,"case:Accusative(prepared dish/meal,optional);case:Dative(beneficiary,optional)",dla + Genitive is not promoted from examples or connections; inchoative food-cooking/boiling and other senses are excluded,"Kitchen/home location, time, frequency, manner, tools, ingredients, and purpose remain adjuncts. Dative beneficiary is direct only because the exact schema lists KOMU, not because meals are commonly prepared for people.","Yes. Exact practical-cooking sense 3 gives (CO) + (KOMU), so both the Accusative dish/meal and Dative beneficiary are optional selected positions. No dla + Genitive beneficiary frame is added.",WSJP-GOTOW-03,"Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, gotować sense 3 'posiłek'",https://wsjp.pl/haslo/podglad/7180/gotowac/3062371/posilek,"sense 3; Definicja, Połączenia, Składnia",2026-08-21,"Składnia gives (CO) + (KOMU) for the personal-subject hot-meal preparation sense, directly supporting optional Accusative and optional Dative.",,,,,,,A,Later authoring should keep optionality explicit and avoid extending the schema to every food-process sense.,none,,Beneficiary result is positive at exact-schema level; collocational dla + Genitive receives no valency credit.
53,40,rezerwować,A2,imperfective,zarezerwować,probably compatible - verify,medium,"Does contemporary evidence support Accusative booking; dla + Genitive person as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?",KEEP VERIFIED,compatible,strong,"sense 1 booking a table, room, seat, ticket, service, or comparable reservable item for a customer/beneficiary",required Accusative reserved item/service with alternative optional Dative beneficiary/customer or optional dla + Genitive beneficiary/customer,"case:Accusative(reserved item/service);case:Dative(beneficiary/customer,optional,alternative);preposition-case:dla+Genitive(beneficiary/customer,optional,alternative)",Dative and dla + Genitive are alternative booking schemas rather than cumulative slots; separate sense 2 setting time/resources aside and its na + Accusative purpose are not merged into booking,"Booking time, duration, venue, channel, price, occasion, and travel circumstances remain adjuncts unless separately selected. Beneficiary/customer credit comes from the two exact booking schemas, not scenario typicality.","Yes. Booking sense 1 directly gives CO + (KOMU) and CO + (dla KOGO). The Accusative booking object is required, while Dative and dla + Genitive are optional alternative beneficiary/customer realizations; setting-aside sense 2 remains separate.",WSJP-REZERW-01,"Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, rezerwować sense 1 'stolik'",https://wsjp.pl/haslo/podglad/13367/rezerwowac/1218817/stolik,"sense 1; Definicja, Połączenia, Składnia",2026-08-21,"Booking-sense Składnia gives CO + (KOMU) and CO + (dla KOGO), directly supporting the reserved object and two optional beneficiary alternatives.",WSJP-REZERW-02,"Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, rezerwować sense 2 'czas'",https://wsjp.pl/haslo/podglad/13367/rezerwowac/1218818/czas,"sense 2; Definicja, Składnia; contrast boundary",2026-08-21,"Separate setting-aside sense 2 gives CO + dla KOGO or CO + na CO, confirming that its purpose schema must not be imported into booking.",A,Later authoring must distinguish Dative from dla + Genitive alternatives and keep booking separate from resource/time allocation.,none,,Beneficiary result is positive in the exact booking schema. The separate setting-aside source is used only to enforce the meaning boundary.
54,51,cieszyć się,A2,imperfective,,compatible,medium,"Does contemporary evidence support z + Genitive cause; że clause as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?",KEEP VERIFIED,compatible,strong,"lexical-reflexive sense 1 experiencing joy, with nominal, prepositional, and propositional cause/content alternatives","z + Genitive present/completed source of joy; na + Accusative anticipated occasion/object; że-clause propositional cause; Instrumental nominal cause/object, all as alternatives in the exact joy sense",preposition-case:z+Genitive(source/cause of joy);preposition-case:na+Accusative(anticipated occasion/object);clause:że(propositional cause);case:Instrumental(cause/object of satisfaction),The four alternatives are not one cumulative frame; lexical się cannot be stripped; no evidence is transferred from non-reflexive cieszyć,"Degree, duration, manner, time, place, and ordinary reason/context phrases outside the listed positions remain adjuncts. The exact schema supplies the joy cause/content alternatives.",Yes. Exact lexical-reflexive joy sense 1 directly lists z + Genitive and a separate że-clause schema. Completeness also requires na + Accusative and Instrumental alternatives; their different nominal or propositional relations must remain explicit.,WSJP-CIESZ-SIE-01,"Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, cieszyć się sense 1 'z prezentu'",https://wsjp.pl/haslo/podglad/4435/cieszyc-sie/4704519/z-prezentu,"sense 1; Definicja, Połączenia, Składnia",2026-08-21,"Składnia gives z KOGO/CZEGO or na CO, a separate że ZDANIE schema, and KIM/CZYM for the lexical-reflexive joy sense.",,,,,,,A,"Later authoring must distinguish the semantic contribution of z, na, Instrumental, and the proposition rather than presenting interchangeable labels.",none,,Lexical się is preserved. Completeness adds exact na + Accusative and Instrumental alternatives beyond the Phase 2 shorthand.
55,52,martwić się,A2,imperfective,,compatible,medium,Does the proposed o + Accusative / clause scope remain distinct enough from released bać się to justify a separate lemma?,KEEP VERIFIED,compatible,moderate,"lexical-reflexive worrying/being concerned, semantically distinct from fear though its o + Accusative concern frame overlaps released bać się",Instrumental cause; o + Accusative person/thing under concern; że-clause; interrogative-dependent clause,case:Instrumental(cause of worry);preposition-case:o+Accusative(person/thing under concern);clause:że(worrying proposition);clause:interrogative-dependent(uncertain worrying content),No construction is borrowed from non-reflexive martwić or bać się; o + Accusative overlap alone does not erase the worry/fear distinction; lexical się remains part of the identity,"Time, duration, intensity, manner, place, and contextual reasons outside the listed cause/content positions remain adjuncts. Exact Instrumental, o + Accusative, and clause schemas receive complement credit.","Yes. The exact lemma independently supports o + Accusative plus Instrumental, że, and interrogative-dependent content. Worry is sustained concern rather than fear, and the extra exact content shapes add meaningful teaching value; overlap with released bać się o + Accusative keeps the independent-slot signal moderate rather than strong.",WSJP-MARTW-SIE-01,"Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, martwić się lexical entry",https://wsjp.pl/haslo/podglad/2596/martwic-sie,"Definicja, Połączenia, Składnia",2026-08-21,"Składnia directly gives CZYM, o KOGO/CO, że ZDANIE, and ZDANIE PYTAJNOZALEŻNE for lexical martwić się.",,,,,,,A,Final synthesis should weigh the overlap with the released bać się concern record against the added Instrumental and clause inventory.,none,,"Product comparison used the released inventory only as product evidence, not linguistic proof. No weak signal or replacement trigger is activated."
56,53,zgadzać się,A2,imperfective,,compatible,medium,"Does contemporary evidence support z + Instrumental person/view; na + Accusative proposal as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?",KEEP VERIFIED,compatible,strong,"lexical-reflexive consent sense 1 and interpersonal/opinion agreement sense 2, kept separate from matching/correspondence meanings","consent: na + Accusative, żeby-clause, infinitive, or direct speech; opinion agreement: z + Instrumental, optional z + Instrumental with że-clause, or direct speech","preposition-case:na+Accusative(consented proposal/action,sense1);clause:żeby(consented event,sense1);infinitive:consented action(sense1);clause:direct-speech(consent,sense1);preposition-case:z+Instrumental(person/view agreed with,sense2);clause:że(agreed proposition,sense2);clause:direct-speech(opinion agreement,sense2)",Consent and opinion agreement are not merged; matching/correspondence and conflict-free-coexistence senses are excluded; lexical się is not stripped; z + Instrumental is not imported from another sense,"Conditions, degree, manner, time, place, and reasons for agreeing remain adjuncts. Only sense-specific exact na, z, infinitive, clause, and direct-speech positions are retained.","Yes, but in separate senses. Consent sense 1 directly supports na + Accusative plus żeby, infinitive, and direct speech; opinion-agreement sense 2 directly supports z + Instrumental, optionally alongside a że-clause, plus direct speech. Matching/correspondence is not combined with either.",WSJP-ZGADZ-SIE-01,"Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, zgadzać się sense 1 'na propozycję'",https://wsjp.pl/haslo/podglad/9547/zgadzac-sie/5111517/na-propozycje,"sense 1; Definicja, Połączenia, Składnia",2026-08-21,"Consent-sense Składnia gives na KOGO/CO, żeby ZDANIE, BEZOKOLICZNIK, and MOWA WPROST as alternatives.",WSJP-ZGADZ-SIE-02,"Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, zgadzać się sense 2 'z czyimś zdaniem'",https://wsjp.pl/haslo/podglad/9547/zgadzac-sie/5111518/z-czyims-zdaniem,"sense 2; Definicja, Połączenia, Składnia",2026-08-21,"Opinion-agreement Składnia gives z KIM/CZYM, optional z KIM/CZYM with że ZDANIE, and direct speech.",A,Later authoring must label consent versus opinion agreement and keep matching/correspondence outside these records.,none,,Lexical się is preserved. Completeness adds consent infinitive/żeby/direct speech and opinion-agreement że/direct speech alternatives.
57,58,zapraszać,A2,imperfective,,compatible,medium,"Does contemporary evidence support Accusative person; na + Accusative event; do + Genitive place as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?",KEEP VERIFIED,compatible,strong,"sense 1 inviting a person to an event/activity, destination/institution, or other selected place",required Accusative invitee with alternative exact na + Accusative event/activity or do + Genitive destination/institution; separate required Accusative invitee plus generalized selected GDZIE,"case:Accusative(invitee);preposition-case:na+Accusative(event/activity,alternative);preposition-case:do+Genitive(destination/institution,alternative)",na and do alternatives are not simultaneous slots; generalized GDZIE does not license arbitrary concrete place government or a new architecture type; ordinary destination collocations outside the exact positions receive no credit,"Time, occasion details, manner, reason, transport, and incidental location remain adjuncts. Exact na and do are direct in one schema; the separate GDZIE alternative establishes selection without a unique concrete preposition.","Yes. Invitation sense 1 directly gives KOGO + na CO or do CZEGO, so Accusative invitee, na + Accusative event/activity, and do + Genitive destination/institution are exact selected positions. A separate KOGO + GDZIE alternative is generalized and yields no further concrete frame.",WSJP-ZAPRASZ-01,"Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, zapraszać sense 1 'gości'",https://wsjp.pl/haslo/podglad/22401/zapraszac/4606452/gosci,"sense 1; Definicja, Połączenia, Składnia",2026-08-21,"Składnia gives KOGO + na CO or do CZEGO, and separately KOGO + GDZIE. Exact na/do are direct; generalized GDZIE creates no unique preposition claim.",,,,,,,A,Later authoring must keep event/activity and destination/institution readings distinct and avoid concretizing the GDZIE alternative.,none,,No generalized-role narrowing is needed for na or do because both are exact in Składnia. GDZIE is recorded only as a selected generalized alternative.
58,59,polecać,A2,imperfective,,compatible,medium,"Does contemporary evidence support Dative recipient + Accusative item; + infinitive as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?",KEEP VERIFIED,compatible,strong,sense 1 directing/instructing someone to act and separate sense 2 recommending a person or item to a potential user/customer,"instruction sense: optional Dative addressee with infinitive, żeby-clause, direct speech, or Accusative action noun/gerund; recommendation sense: optional Dative recipient with Accusative recommended person/item","case:Dative(addressee,optional,sense1);infinitive:directed action(sense1);clause:żeby(directed action,sense1);clause:direct-speech(instruction,sense1);case:Accusative(action noun/gerund,sense1);case:Dative(recipient,optional,sense2);case:Accusative(recommended person/item,sense2)",Recommendation and command/instruction meanings are not merged; infinitive is not added to the person/item recommendation schema; Dative is optional and must not be assumed to combine across senses,"Reason, authority context, manner, time, place, channel, and evaluation details remain adjuncts. Dative and content positions receive credit only within their exact sense-specific alternatives.","Yes, with a strict sense split. Recommendation sense 2 gives optional Dative plus Accusative person/item. Infinitive belongs to separate command/instruction sense 1, where optional Dative also occurs and żeby, direct speech, and an Accusative action noun/gerund are alternative content schemas.",WSJP-POLEC-01,"Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, polecać sense 1 'komuś zrobić coś'",https://wsjp.pl/haslo/podglad/34256/polecac/4365077/komus-zrobic-cos,"sense 1; Definicja, Połączenia, Składnia, Informacja normatywna",2026-08-21,"Instruction-sense Składnia gives optional KOMU with infinitive, żeby-clause, direct speech, or CO; the normative note says the Accusative position is usually a gerund.",WSJP-POLEC-02,"Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, polecać sense 2 'towar w sklepie'",https://wsjp.pl/haslo/podglad/34256/polecac/4365078/towar-w-sklepie,"sense 2; Definicja, Połączenia, Składnia",2026-08-21,Recommendation-sense Składnia separately gives optional KOMU + KOGO/CO for a recommended person or item.,A,Later authoring must not gloss the sense-1 infinitive as ordinary recommendation; it is directive/instructional in the exact source.,none,,"Completeness adds exact żeby, direct speech, and Accusative gerund alternatives in the instruction sense."
59,61,radzić,B1,imperfective,,probably compatible - verify,medium,"Does contemporary evidence support Dative person + infinitive; Dative + clause as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?",KEEP VERIFIED,compatible,strong,"non-reflexive advice sense 2, independently distinct in identity, meaning, and construction from lexical radzić sobie",required Dative advisee plus Accusative advice item; required Dative advisee plus żeby- or interrogative-dependent clause; direct speech plus required Dative advisee; optional Dative advisee plus infinitive,"case:Dative(advisee,required,nominal/clause/direct-speech schemas);case:Accusative(advice item);clause:żeby(advised action);clause:interrogative-dependent(advice content);clause:direct-speech(advice);case:Dative(advisee,optional,infinitive schema);infinitive:advised action","No evidence is reused from lexical radzić sobie + z + Instrumental; Dative optionality differs by schema; advice-item, clause, direct-speech, and infinitive alternatives are not a maximal template","Topic, reason, circumstances, manner, time, place, and source of expertise remain adjuncts. Exact Dative and content positions are sense-specific; no z + Instrumental coping frame belongs here.","Yes. Advice sense 2 directly gives KOMU with CO, żeby or an interrogative-dependent clause, and direct speech; its infinitive schema has optional KOMU. This independently verifies radzić and does not reuse any evidence from radzić sobie.",WSJP-RADZ-02,"Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, radzić sense 2 'córce'",https://wsjp.pl/haslo/podglad/9060/radzic/4605543/corce,"sense 2; Definicja, Połączenia, Składnia",2026-08-21,Advice-sense Składnia gives KOMU + CO; KOMU + żeby or interrogative-dependent clause; direct speech + KOMU; and optional KOMU + infinitive.,,,,,,,A,Later authoring must encode the Dative required/optional distinction across schemas and keep advice separate from coping.,none,,"Strong independent-slot value: radzić differs from radzić sobie in lexical identity, advice-versus-coping meaning, Dative/content constructions, and learner use."
60,68,pasować,A2,imperfective,,probably compatible - verify,medium,"Do fit/suit and match meanings support the proposed Dative experiencer and do + Genitive relations, including the correct relation type?",KEEP VERIFIED,compatible,strong,"separate harmony/match sense 1, physical fit sense 2, typicality/appropriateness sense 4, and expectation-satisfaction/suitability sense 5",sense 1 exact do + Genitive harmony target; sense 2 optional do + Genitive fit target or na + Accusative wearer/object; sense 4 optional Dative evaluator plus do + Genitive person/thing reference target; sense 5 optional Dative expectation holder/experiencer,"preposition-case:do+Genitive(harmony/match target,sense1);preposition-case:do+Genitive(fit target,optional,sense2);preposition-case:na+Accusative(wearer/object fitted,optional,sense2);case:Dative(evaluator,optional,sense4);preposition-case:do+Genitive(person/thing reference target,sense4);case:Dative(expectation holder/experiencer,optional,sense5)","Repeated do + Genitive surfaces do not merge distinct harmony, physical-fit, and reference-target relations; Dative is not imported into senses 1 or 2; no collocation supplies a frame absent from exact Składnia","Degree, style, occasion, time, place, manner, and contextual comparison remain adjuncts. Each Dative, do, or na position is retained only in its own exact sense and role.","Yes, with separate relation types. Exact senses support do + Genitive as a harmony/match target, physical-fit target, or person/thing reference target; exact na + Accusative marks a physical fit target. Dative is an optional evaluator in sense 4 and an optional expectation holder/experiencer in sense 5. These must be separate records.",WSJP-PASOW-05,"Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, pasować sense 5 'być odpowiednim'",https://wsjp.pl/haslo/podglad/9549/pasowac/5111496/byc-odpowiednim,"sense 5; Definicja, Cytaty, Składnia",2026-08-21,"Suitability/expectation-satisfaction Składnia gives optional KOMU/CZEMU, directly supporting the Dative expectation holder/experiencer relation.",WSJP-PASOW-01,"Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, pasować sense 1 'o makijażu'",https://wsjp.pl/haslo/podglad/9549/pasowac/5111492/o-makijazu,"sense 1; Definicja, Połączenia, Składnia",2026-08-21,Harmony/match Składnia gives exact do KOGO/CZEGO for the appearance/character relation.,A,Later product authoring must choose sense-specific role wording; the locked model can encode the forms but generic 'fits' wording would obscure the relations.,none,,"Additional exact sources registered and used: WSJP-PASOW-02 for physical fit and WSJP-PASOW-04 for typicality/appropriateness. Strong value comes from several common exact relations, not from collapsing the polysemy."
