"verification_order","provisional_rank","lemma","cefr_hypothesis","aspect","aspect_partner","phase2_representation_fit","phase2_risk","phase2_verification_question","phase3_disposition","phase3_representation_fit","independent_slot_signal","verified_meaning_summary","supported_construction_summary","supported_constructions_structured","rejected_or_unverified_hypotheses","adjunct_boundary_summary","phase2_question_answer","primary_source_key","primary_source","primary_source_url","primary_source_locator","primary_source_accessed","primary_source_evidence_summary","secondary_source_key","secondary_source","secondary_source_url","secondary_source_locator","secondary_source_accessed","secondary_source_evidence_summary","evidence_strength","remaining_uncertainty","replacement_trigger","replacement_profile","research_notes"
"11","48","przyjechać","A2","perfective","przyjeżdżać","probably compatible - verify","high","Is there an independently useful governed frame after destination, source, route, time, and vehicle adjuncts are removed?","KEEP WITH NARROWING","compatible with narrowing","moderate","arriving at a destination by vehicle","attested do + Genitive and na + Accusative as narrowed realizations of selected DOKĄD","preposition-case:do+Genitive(realization);preposition-case:na+Accusative(realization)","z + Genitive origin is not selected in the exact schema; neither do nor na is exclusive government; vehicle, route, and time receive no frame credit","The exact schema selects DOKĄD; documented do/na forms may realize that role narrowly, while source, route, time, and vehicle material absent from Składnia remains outside the verified pattern.","Yes, but only with narrowing. The exact lemma selects DOKĄD, so an attested concrete destination realization survives; no independent source, route, time, or vehicle construction is verified.","WSJP-PRZYJECH-01","Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, przyjechać","https://wsjp.pl/haslo/podglad/32191/przyjechac","single sense; Definicja, Połączenia, Składnia","2026-08-20","Składnia gives DOKĄD and Połączenia documents do + Genitive and na + Accusative destinations; no source or vehicle position appears in the schema.","WSJP-METHOD-2026","Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN: zasady opracowania, version 2026","https://pliki.wsjp.pl/zasady_opracowania_wsjp.pdf","2.12 Składnia, pp. 68–70","2026-08-20","Explains that generalized DOKĄD establishes a connoted role without selecting one unique preposition.","A","The exact selected goal is clear, but no independently inspectable lemma-level Walenty frame was available and the concrete destination form remains a realization rather than an exact Składnia label.","none","","Exact perfective evidence only; nothing is inherited from reserve przyjeżdżać, and no reserve was researched."
"12","49","wyjść","A2","perfective","wychodzić","probably compatible - verify","high","Are z + Genitive and any na + Accusative use selected in the exact scoped exit/event senses rather than free adjuncts?","KEEP WITH NARROWING","compatible with narrowing","strong","literal exit from a bounded place, optionally toward a destination","attested z + Genitive source and do/na + Accusative-or-Genitive goal forms as narrowed realizations of selected SKĄD/DOKĄD","preposition-case:z+Genitive(realization);preposition-case:do+Genitive(realization);preposition-case:na+Accusative(realization)","no separate event/activity na + Accusative frame was established in the scoped literal-exit evidence; sport/result na CO belongs to a different sense and is not merged","Literal-exit Składnia selects optional SKĄD and DOKĄD; concrete z/do/na forms realize those roles, while time, manner, and route remain adjuncts and event/result senses stay separate.","Yes for the literal exit roles, with narrowing: z + Genitive realizes selected SKĄD and documented na + Accusative can realize selected DOKĄD. No separate event/activity na frame was established for this scoped sense.","WSJP-WYJSC-01","Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, wyjść sense 1 'z domu'","https://wsjp.pl/haslo/podglad/13505/wyjsc/4999685/z-domu","sense 1; Definicja, Połączenia, Składnia","2026-08-20","The literal-exit sense explicitly gives optional SKĄD and DOKĄD; connections document z-source and do/na destinations but do not turn one realization into exclusive government.","WSJP-WYJSC-10","Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, wyjść sense 10 'na prowadzenie'","https://wsjp.pl/haslo/podglad/13505/wyjsc/4999693/na-prowadzenie","sense 10; Definicja, Połączenia, Składnia","2026-08-20","The separate ranking/result sense has exact na CO, confirming that it must not be conflated with literal exit or treated as the requested event/activity sense.","A","The literal selected roles are explicit; the product must preserve the realization label and avoid implying that event/result na uses belong to the same sense.","none","","Exact perfective entries used; no syntax inherited from reserve wychodzić and no reserve researched."
"13","50","wyjechać","A2","perfective","wyjeżdżać","probably compatible - verify","high","Is there a governed source/goal construction that independently justifies the slot after ordinary motion adjuncts are removed?","KEEP WITH NARROWING","compatible with narrowing","moderate","leaving a bounded area by travelling in or on transport","attested z + Genitive as a narrowed realization of selected SKĄD","preposition-case:z+Genitive(realization)","do + Genitive destination is not selected in the exact exit sense; no vehicle, route, or time construction is established by its Składnia","The exact schema selects SKĄD and connections document z + Genitive; destination, vehicle, route, and time receive no valency credit in this sense.","Yes, narrowly: selected SKĄD independently survives and attested z + Genitive can represent it, but the proposed do + Genitive goal and ordinary vehicle, route, or time material do not.","WSJP-WYJECH-01","Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, wyjechać sense 1 'z lasu'","https://wsjp.pl/haslo/podglad/32502/wyjechac/4701567/z-lasu","sense 1; Definicja, Połączenia, Składnia","2026-08-20","Składnia gives selected SKĄD for leaving a bounded area and Połączenia documents z + Genitive origins; it supplies no selected goal or vehicle position.","WSJP-METHOD-2026","Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN: zasady opracowania, version 2026","https://pliki.wsjp.pl/zasady_opracowania_wsjp.pdf","2.12 Składnia, pp. 68–70","2026-08-20","Explains why the concrete z form is a realization of generalized SKĄD rather than an exclusive exact frame.","A","The source role is clear, but the surviving product construction is a narrowed realization and lacks independent lemma-level valency corroboration.","none","","Exact perfective evidence only; no syntax inherited from reserve wyjeżdżać and no reserve researched."
"14","28","przynosić","A2","imperfective","","probably compatible - verify","high","Does contemporary evidence support the proposed Dative recipient + Accusative thing frame for the imperfective przynosić itself, independent of evidence for przynieść?","KEEP WITH NARROWING","compatible with narrowing","moderate","carrying a physical thing from somewhere to a destination","direct Accusative thing in the exact imperfective physical-carrying sense","case:Accusative","Dative recipient is absent from the exact imperfective schema and is not borrowed from przynieść; no combined Dative + Accusative frame is verified","The thing is the exact CO position; optional SKĄD/DOKĄD are generalized selected roles, while a recipient is not established and ordinary route, time, and manner remain outside the frame.","No for the proposed combined frame. The exact imperfective independently supports Accusative CO, but its physical-carrying schema does not support a Dative recipient.","WSJP-PRZYNOS-01","Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, przynosić sense 1 'chleb ze sklepu'","https://wsjp.pl/haslo/podglad/18667/przynosic/4601921","sense 1; Definicja, Połączenia, Składnia","2026-08-20","The exact imperfective schema is CO + optional SKĄD + optional DOKĄD; it directly supports the thing object but not a Dative recipient.","WSJP-METHOD-2026","Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN: zasady opracowania, version 2026","https://pliki.wsjp.pl/zasady_opracowania_wsjp.pdf","2.12 Składnia, pp. 68–70","2026-08-20","Confirms that the listed CO is sense-specific and that omitted participant types cannot be supplied by related-lemma evidence.","A","Accusative is explicit, but the intended Dative-plus-Accusative coverage is reduced to Accusative alone and no independent lemma-level valency source was inspectable.","none","","The exact imperfective was inspected directly; no evidence was transferred from przynieść and no reserve was researched."
"15","34","odpowiadać","A2","imperfective","","probably compatible - verify","high","Does contemporary evidence support Dative person and na + Accusative question for the exact scoped meanings, and can an exact repository frame be located?","KEEP WITH NARROWING","compatible with narrowing","strong","answering a question or prior utterance by saying something","exact na + Accusative question plus a separately listed że-clause in the answer sense","preposition-case:na+Accusative;clause:że","Dative addressee is not listed in the exact answer schema; preference/matching and correspondence senses are not merged; no exact current-repository frame was located","The question/topic is explicitly selected as na CO; the person addressed is present in the definition but not a Dative Składnia position, and other odpowiadać senses cannot supply it.","Partly. The exact answer sense directly supports na + Accusative, but not a Dative person; the repository search did not locate an exact frame, which is secondary evidence and does not alter the linguistic result.","WSJP-ODPOW-01","Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, odpowiadać sense 1 'na pytanie'","https://wsjp.pl/haslo/podglad/4822/odpowiadac/4804137/na-pytanie","sense 1; Definicja, Połączenia, Składnia","2026-08-20","Składnia directly gives na CO, że ZDANIE, and direct speech for the answer sense; it does not list a Dative person.","WSJP-METHOD-2026","Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN: zasady opracowania, version 2026","https://pliki.wsjp.pl/zasady_opracowania_wsjp.pdf","2.12 Składnia, pp. 68–70","2026-08-20","Supports reading the concrete na CO label as direct construction evidence and not inferring an unlisted participant from the definition alone.","A","The na-question construction is direct; the Dative-person hypothesis and repository-frame request remain unverified, with no independent lemma-level valency corroboration.","none","","Repository occurrence was treated only as secondary product evidence; answer, matching/preference, and correspondence senses remain separate."
"16","39","zamawiać","A2","imperfective","zamówić","probably compatible - verify","high","Does contemporary evidence support Accusative item; u + Genitive provider as governed, architecture-compatible learner construction(s) for the scoped meaning(s), rather than free adjuncts or conflated senses?","KEEP WITH NARROWING","compatible with narrowing","strong","commissioning or ordering the making or delivery of an item or service for payment","direct Accusative item; attested u + Genitive provider as a narrowed realization of optional selected GDZIE","case:Accusative;preposition-case:u+Genitive(realization)","u + Genitive is not an exact exclusive provider frame in Składnia; provider/location realizations must not be generalized across other senses","CO is directly selected. Optional GDZIE is connoted and u-provider forms are documented for this sense, so u + Genitive may be retained only as a narrowed realization, not as an arbitrary location or exclusive government claim.","Yes with narrowing. Accusative CO is direct, while u + Genitive is an attested provider realization of optional selected GDZIE rather than an exact concrete Składnia requirement.","WSJP-ZAMAW-01","Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, zamawiać sense 1 'meble'","https://wsjp.pl/haslo/podglad/7274/zamawiac/1158002/meble","sense 1; Definicja, Połączenia, Składnia","2026-08-20","Składnia gives CO plus optional GDZIE, and Połączenia documents u dostawcy/u krawca/u producenta provider forms; it does not make u the sole realization.","WSJP-METHOD-2026","Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN: zasady opracowania, version 2026","https://pliki.wsjp.pl/zasady_opracowania_wsjp.pdf","2.12 Składnia, pp. 68–70","2026-08-20","Establishes that parenthesized GDZIE is facultative but connoted and that a generalized position does not select one preposition.","A","The item frame is exact; the provider form remains epistemically narrower because the schema generalizes it as GDZIE and no second lemma-level valency source was inspectable.","none","","Exact imperfective evidence only; no syntax inherited from reserve zamówić and no reserve researched."
"17","41","zaczynać","A2","imperfective","zacząć","probably compatible - verify","high","Does contemporary evidence support Accusative activity; + infinitive for zaczynać, and does zaczynać independently justify a slot apart from zacząć without pattern inheritance?","KEEP VERIFIED","compatible","moderate","entering and continuing a newly begun activity or process","direct Accusative activity and infinitive in the exact imperfective onset sense","case:Accusative;infinitive","no frame is inherited from zacząć; other sequence, ability-acquisition, and object-opening senses are excluded","Both CO and BEZOKOLICZNIK are exact Składnia positions in the scoped onset sense, not purpose adjuncts; unrelated complements from other zaczynać senses receive no credit.","Yes. The exact imperfective sense independently lists both CO and BEZOKOLICZNIK; imperfective process/onset value is useful, although duplicated construction coverage leaves later pair-level opportunity cost open.","WSJP-ZACZYN-01","Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, zaczynać sense 1 'śpiewanie'","https://wsjp.pl/haslo/podglad/22642/zaczynac/3106497","sense 1; Definicja, Połączenia, Składnia","2026-08-20","The exact imperfective onset sense independently lists BEZOKOLICZNIK and CO in Składnia.","WSJP-METHOD-2026","Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN: zasady opracowania, version 2026","https://pliki.wsjp.pl/zasady_opracowania_wsjp.pdf","2.12 Składnia, pp. 68–70","2026-08-20","Confirms that the two sense-specific Składnia positions are direct construction evidence.","A","Constructional support is direct, but whether both aspect partners merit separate slots over verified diversity alternatives remains a later synthesis question.","none","","Researched independently from zacząć; separate-slot signal is moderate because aspect adds teaching value without adding unique construction coverage."
"18","42","zacząć","A2","perfective","zaczynać","probably compatible - verify","high","Does contemporary evidence support Accusative activity; + infinitive for zacząć, and does zacząć independently justify a slot apart from zaczynać without pattern inheritance?","KEEP VERIFIED","compatible","moderate","entering a newly begun activity as a bounded onset","direct Accusative activity and infinitive in the exact perfective onset sense","case:Accusative;infinitive","no frame is inherited from zaczynać; unrelated senses are excluded","Both CO and BEZOKOLICZNIK are exact Składnia positions in the scoped perfective onset sense, not adjuncts or inherited patterns.","Yes. The exact perfective sense independently lists both CO and BEZOKOLICZNIK; bounded-onset value is useful, although duplicated construction coverage leaves later pair-level opportunity cost open.","WSJP-ZACZ-01","Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, zacząć sense 1 'śpiewać'","https://wsjp.pl/haslo/podglad/22860/zaczac/3106377/spiewac","sense 1; Definicja, Połączenia, Składnia","2026-08-20","The exact perfective onset sense independently lists BEZOKOLICZNIK and CO in Składnia.","WSJP-METHOD-2026","Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN: zasady opracowania, version 2026","https://pliki.wsjp.pl/zasady_opracowania_wsjp.pdf","2.12 Składnia, pp. 68–70","2026-08-20","Confirms that the two sense-specific Składnia positions are direct construction evidence.","A","Constructional support is direct, but whether both aspect partners merit separate slots over verified diversity alternatives remains a later synthesis question.","none","","Researched independently from zaczynać; separate-slot signal is moderate because aspect adds teaching value without adding unique construction coverage."
"19","43","kończyć","A2","imperfective","skończyć","probably compatible - verify","high","Does contemporary evidence support Accusative task; + infinitive only if corroborated for kończyć, and does kończyć independently justify a slot apart from skończyć without pattern inheritance?","KEEP VERIFIED","compatible","moderate","bringing an activity expressed by a noun or verb to its end","direct Accusative activity/task and infinitive in the exact imperfective completion sense","case:Accusative;infinitive","no construction is borrowed from skończyć and no claim about the later partner's independent slot is made","CO and BEZOKOLICZNIK are both explicit Składnia positions for the exact completion sense; the infinitive is therefore selected rather than a purpose adjunct.","Yes. The exact imperfective entry directly supports both CO and BEZOKOLICZNIK without borrowing from skończyć; its final pair-level slot value remains open until the partner's authorized verification turn.","WSJP-KONCZ-01","Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, kończyć sense 1 'czynność'","https://wsjp.pl/haslo/podglad/24574/konczyc/5146180/czynnosc","sense 1; Definicja, Połączenia, Składnia","2026-08-20","The exact imperfective completion sense defines noun/verb activity completion and lists CO and BEZOKOLICZNIK in Składnia.","WSJP-METHOD-2026","Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN: zasady opracowania, version 2026","https://pliki.wsjp.pl/zasady_opracowania_wsjp.pdf","2.12 Składnia, pp. 68–70","2026-08-20","Confirms that exact CO and BEZOKOLICZNIK entries are direct, sense-specific construction evidence.","A","The frames are direct, but independent pair opportunity cost cannot be settled before later-queue skończyć receives its own exact-form review.","none","","Only kończyć was verified; skończyć was neither researched nor prejudged."
"20","54","pamiętać","A2","imperfective","","probably compatible - verify","high","Which of o + Locative, direct Accusative, and żeby-clause belong to distinct supported meanings and fit deterministic teaching?","KEEP VERIFIED","compatible","strong","retaining and recalling people, things, events, or information; separately, remembering an obligation to act","direct Accusative and o + Locative in the recall sense; żeby-clause in the distinct obligation/reminder sense","case:Accusative;preposition-case:o+Locative;clause:żeby","the three constructions must not be collapsed into one oversized meaning; żeby is not licensed by the general recall sense","Direct Accusative and o + Locative are exact alternatives in recall sense 1; żeby ZDANIE is exact in obligation sense 3, so deterministic teaching requires separate sense records rather than adjunct inference.","Direct Accusative and o + Locative are both supported within the recall meaning, while żeby-clause belongs to the distinct obligation-to-act meaning; all fit the model when taught as separate sense constructions.","WSJP-PAMIET-01","Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, pamiętać sense 1 'każdą chwilę'","https://wsjp.pl/haslo/podglad/37811/pamietac/4692695/kazda-chwile","sense 1; Definicja, Połączenia, Składnia","2026-08-20","Recall sense 1 directly lists KOGO/CO and o KIM/CZYM, plus content clauses; it does not license the obligation żeby-clause.","WSJP-PAMIET-03","Instytut Języka Polskiego PAN — Wielki słownik języka polskiego PAN, pamiętać sense 3 'zrobić coś'","https://wsjp.pl/haslo/podglad/37811/pamietac/4692697/zrobic-cos","sense 3; Definicja, Połączenia, Składnia","2026-08-20","The distinct obligation/reminder sense directly lists BEZOKOLICZNIK and żeby ZDANIE.","A","Both sense boundaries and constructions are explicit; no independently inspectable lemma-level valency source was available for corroboration.","none","","Separate deterministic sense records are required; no learner example was authored."
